| NO   | NO EMP | PUESTO                 | APELLIDO PATERNO | APELLIDO MATERNO  | NOMBRE               | TELEFONO   | EDAD | SEXO       | EST |
 1    | 300019 | InvCien                | HIDALGO          | FLORES            | MIGUEL               | 6461016520 | 21   | HOMBRE     | DF  |
 2    | 300044 | EspLog                 | ROSALES          | HIDALGO           | PAULA                | 6461010870 | 22   | MUJER      | CL  |
 3    | 300046 | TecSup                 | REYES            | DURAN             | ALEJANDRA            | 6461005412 | 23   | MUJER      | SR  |
 4    | 300077 | Arquitect              | MORA             | VALENCIA          | CARLOS               | 6461006753 | 43   | HOMBRE     | DF  |
 5    | 300086 | IngElec                | GOMEZ            | MACIAS            | JOSE                 | 6461017883 | 40   | HOMBRE     | YN  |
 6    | 300087 | Abogado                | AGUILAR          | VALENCIA          | BEATRIZ              | 6461027023 | 37   | MUJER      | GR  |
 7    | 300092 | EspSeg                 | ROMAN            | ALVAREZ           | SOFIA                | 6461028675 | 41   | MUJER      | DF  |
 8    | 300112 | AnlVent                | PACHECO          | VEGA              | MIGUEL               | 6461015089 | 49   | HOMBRE     | YN  |
 9    | 300122 | GteProj                | SERRANO          | BARRIOS           | RAUL                 | 6461029062 | 44   | HOMBRE     | TL  |
 10   | 300133 | ProfPrim               | LOPEZ            | ESPINOZA          | ROSA                 | 6461011987 | 46   | MUJER      | TC  |
 11   | 300142 | ChefEje                | CERVANTES        | DELGADO           | ANA                  | 6461007730 | 49   | MUJER      | MC  |
 12   | 300148 | DevSoft                | URIBE            | VARGAS            | MARIO                | 6461007812 | 32   | HOMBRE     | MN  |
 13   | 300158 | Contado                | LEON             | VALDES            | SOFIA                | 6461030988 | 26   | MUJER      | MC  |
 14   | 300171 | TrabSoc                | SERRANO          | RAMOS             | MARIO                | 6461016729 | 28   | HOMBRE     | CS  |
 15   | 300178 | AnMktDg                | PARDO            | CORDERO           | MARIO                | 6461010069 | 26   | HOMBRE     | QT  |
 16   | 300182 | PsOrg                  | LEAL             | PARDO             | GLORIA               | 6461007186 | 28   | MUJER      | NT  |
 17   | 300187 | AnlSist                | CONTRERAS        | GONZALES          | ARMANDO              | 6461020450 | 50   | HOMBRE     | YN  |
 18   | 300197 | DisUX                  | GUERRERO         | ROJAS             | CLARA                | 6461029019 | 29   | MUJER      | PL  |
 19   | 300209 | EspLog                 | SILVA            | DURAN             | HECTOR               | 6461024691 | 38   | HOMBRE     | CL  |
 20   | 300224 | PsOrg                  | IGLESIAS         | SUAREZ            | ALEJANDRO            | 6461025510 | 26   | HOMBRE     | VZ  |
 21   | 300244 | Traduct                | RAMOS            | CHACON            | SALVADOR             | 6461007814 | 44   | HOMBRE     | GR  |
 22   | 300245 | EspRRHH                | ORTIZ            | ROMERO            | GABRIELA             | 6461015364 | 48   | MUJER      | QR  |
 23   | 300250 | TrabSoc                | HERRERA          | ALVARADO          | PILAR                | 6461010009 | 35   | MUJER      | BC  |
 24   | 300271 | DisGraf                | ESPINOZA         | REYES             | PATRICIA             | 6461006922 | 43   | MUJER      | CC  |
 25   | 300297 | EspRRHH                | SANDOVAL         | LEAL              | NATALIA              | 6461018431 | 44   | MUJER      | DG  |
